Record,Data
Output Report,05 00 02 05 f0 ed 00 e0 0f
Input Report,05 02 01 03 00 03 00
Output Report,05 00 04 05 30 ed 00 e0 0d 1f 00 00 00 05 f0 ed 00 e0 0d 01 00 5f a0
Input Report,05 04 01
Output Report,05 00 06 05 f0 ed 00 e0 0d 00 00 5f a0 05 fc ed 00 e0 0d 00 00 00 00 04 00 0f 00 10 06
Input Report,05 06 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
Input Report,06 01 00 01 40 0f 00 b8
Output Report,06 00 01 00 06
