Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary
2,HS,560,2:56.524.980,1.150 us,67 B,,03,02,      DATA1 packet,4B 04 00 64 00 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0F E8,
2,HS,561,2:56.524.982,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,562,2:56.524.854,251.933 us,64 B,K,03,04,Input Report,04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,563,2:56.524.854,251.933 us,64 B,,03,04,   IN txn   [2 POLL],04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,564,2:56.524.854,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,565,2:56.525.104,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,566,2:56.525.104,1.133 us,67 B,,03,04,      DATA1 packet,4B 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BE D3,
2,HS,567,2:56.525.106,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,568,2:56.525.355,1.883 us,64 B,K,03,02,Output Report,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,569,2:56.525.355,1.883 us,64 B,,03,02,   OUT txn,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,570,2:56.525.355,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,571,2:56.525.355,1.150 us,67 B,,03,02,      DATA0 packet,C3 05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 87 63,
2,HS,572,2:56.525.357,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,573,2:56.525.229,251.916 us,64 B,K,03,04,Input Report,05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,574,2:56.525.229,251.916 us,64 B,,03,04,   IN txn   [2 POLL],05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,575,2:56.525.229,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,576,2:56.525.479,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,577,2:56.525.479,1.150 us,67 B,,03,04,      DATA0 packet,C3 05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3D A4,
2,HS,578,2:56.525.481,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,579,2:56.525.730,1.866 us,64 B,K,03,02,Output Report,08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,580,2:56.525.730,1.866 us,64 B,,03,02,   OUT txn,08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,581,2:56.525.730,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,582,2:56.525.730,1.150 us,67 B,,03,02,      DATA1 packet,4B 08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7 C8,
2,HS,583,2:56.525.732,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,584,2:56.525.604,251.933 us,64 B,K,03,04,Input Report,08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,585,2:56.525.604,251.933 us,64 B,,03,04,   IN txn   [2 POLL],08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,586,2:56.525.604,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,587,2:56.525.854,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,588,2:56.525.854,1.133 us,67 B,,03,04,      DATA1 packet,4B 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD D6,
2,HS,589,2:56.525.856,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,590,2:56.526.230,1.883 us,64 B,K,03,02,Output Report,13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,591,2:56.526.230,1.883 us,64 B,,03,02,   OUT txn,13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,592,2:56.526.230,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,593,2:56.526.231,1.150 us,67 B,,03,02,      DATA0 packet,C3 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 8D,
2,HS,594,2:56.526.232,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,595,2:56.525.979,376.916 us,64 B,K,03,04,Input Report,13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,596,2:56.525.979,376.916 us,64 B,,03,04,   IN txn   [3 POLL],13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,597,2:56.525.979,250.433 us,,,03,04,      [3 IN-NAK],,
2,HS,598,2:56.526.354,66 ns,3 B,,03,04,      IN packet,69 03 02,
